Уровень	Дата и время	Источник	Код события	Категория задачи
Сведения	29.09.2017 18:20:19	Microsoft-Windows-WindowsUpdateClient	19	Агент Центра обновления Windows	Установка завершена: следующее обновление было успешно установлено: 9WZDNCRFHWD2-Microsoft.MicrosoftSolitaireCollection
Сведения	29.09.2017 18:20:14	Microsoft-Windows-WindowsUpdateClient	43	Агент Центра обновления Windows	Установка начата: ОС Windows начала устанавливать следующее обновление: 9WZDNCRFHWD2-Microsoft.MicrosoftSolitaireCollection
Сведения	29.09.2017 18:20:14	Microsoft-Windows-WindowsUpdateClient	19	Агент Центра обновления Windows	Установка завершена: следующее обновление было успешно установлено: 9NBLGGH1QWGC-Microsoft.Advertising.Xaml
Сведения	29.09.2017 18:20:12	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\Users\VladlenMacro\AppData\Local\Packages\Microsoft.MicrosoftSolitaireCollection_8wekyb3d8bbwe\Settings\settings.dat очищен; обновлено разделов: 3; создано измененных страниц: 1.
Сведения	29.09.2017 18:20:10	Microsoft-Windows-WindowsUpdateClient	43	Агент Центра обновления Windows	Установка начата: ОС Windows начала устанавливать следующее обновление: 9NBLGGH1QWGC-Microsoft.Advertising.Xaml
Сведения	29.09.2017 18:20:05	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.MicrosoftSolitaireCollection_3.17.8162.0_x64__8wekyb3d8bbwe\ActivationStore.dat очищен; обновлено разделов: 0; создано измененных страниц: 0.
Сведения	29.09.2017 18:19:36	Microsoft-Windows-WindowsUpdateClient	44	Агент Центра обновления Windows	Центр обновления Windows начал скачивать обновление.
Сведения	29.09.2017 18:19:31	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Advertising.Xaml_10.1709.1.0_x86__8wekyb3d8bbwe\ActivationStore.dat очищен; обновлено разделов: 0; создано измененных страниц: 0.
Сведения	29.09.2017 18:19:27	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Advertising.Xaml_10.1709.1.0_x64__8wekyb3d8bbwe\ActivationStore.dat очищен; обновлено разделов: 0; создано измененных страниц: 0.
Сведения	29.09.2017 18:19:20	Microsoft-Windows-WindowsUpdateClient	44	Агент Центра обновления Windows	Центр обновления Windows начал скачивать обновление.
